iter	Passed	Remaining
0	6	6020
1	12	6099
2	18	6088
3	25	6419
4	32	6389
5	39	6516
6	45	6514
7	52	6519
8	59	6510
9	65	6499
10	72	6497
11	78	6491
12	85	6500
13	91	6461
14	98	6469
15	106	6551
16	113	6571
17	120	6558
18	126	6534
19	133	6518
20	139	6484
21	145	6461
22	152	6472
23	158	6441
24	164	6415
25	170	6383
26	176	6358
27	182	6343
28	189	6329
29	195	6323
30	203	6362
31	218	6610
32	228	6683
33	241	6851
34	250	6893
35	258	6915
36	270	7042
37	278	7061
38	285	7025
39	291	6993
40	298	6987
41	306	6982
42	312	6954
43	320	6970
44	328	6967
45	335	6964
46	342	6946
47	349	6924
48	356	6911
49	362	6886
50	368	6864
51	374	6835
52	381	6807
53	386	6778
54	393	6755
55	399	6735
56	406	6724
57	413	6710
58	419	6689
59	424	6655
60	431	6642
61	437	6624
62	444	6606
63	453	6637
64	461	6633
65	467	6622
66	474	6606
67	480	6590
68	487	6573
69	493	6552
70	499	6539
71	515	6645
72	522	6630
73	529	6625
74	535	6601
75	541	6584
76	547	6568
77	554	6557
78	561	6544
79	567	6525
80	573	6508
81	580	6496
82	586	6481
83	592	6466
84	599	6455
85	606	6449
86	613	6442
87	620	6425
88	626	6415
89	634	6413
90	642	6413
91	648	6404
92	655	6391
93	662	6389
94	669	6375
95	675	6364
96	682	6349
97	688	6340
98	695	6333
99	703	6327
100	709	6314
101	716	6305
102	723	6297
103	729	6285
104	735	6268
105	741	6254
106	747	6241
107	754	6230
108	760	6217
109	766	6204
110	773	6191
111	779	6178
112	785	6165
113	792	6157
114	800	6161
115	809	6167
116	816	6165
117	824	6164
118	831	6153
119	838	6148
120	845	6139
121	852	6132
122	858	6118
123	863	6103
124	870	6090
125	876	6078
126	881	6057
127	887	6046
128	894	6037
129	900	6028
130	907	6020
131	914	6010
132	920	6003
133	927	5995
134	934	5985
135	941	5978
136	947	5967
137	953	5956
138	960	5947
139	966	5938
140	973	5930
141	980	5922
142	986	5913
143	993	5908
144	1002	5911
145	1012	5920
146	1019	5914
147	1026	5907
148	1033	5902
149	1040	5893
150	1047	5887
151	1053	5877
152	1059	5866
153	1066	5858
154	1072	5848
155	1079	5838
156	1085	5829
157	1092	5820
158	1098	5812
159	1104	5801
160	1111	5793
161	1118	5787
162	1125	5780
163	1132	5771
164	1138	5760
165	1144	5749
166	1151	5742
167	1157	5731
168	1164	5724
169	1170	5715
170	1176	5705
171	1183	5696
172	1189	5686
173	1197	5682
174	1203	5675
175	1210	5667
176	1216	5657
177	1223	5651
178	1230	5643
179	1236	5633
180	1242	5624
181	1249	5616
182	1255	5607
183	1262	5598
184	1268	5588
185	1275	5580
186	1281	5570
187	1288	5563
188	1294	5556
189	1301	5546
190	1307	5538
191	1314	5530
192	1320	5522
193	1327	5514
194	1333	5505
195	1341	5503
196	1348	5496
197	1354	5487
198	1361	5480
199	1368	5472
200	1374	5464
201	1381	5457
202	1387	5448
203	1394	5442
204	1401	5437
205	1408	5430
206	1416	5427
207	1423	5418
208	1428	5406
209	1435	5400
210	1442	5393
211	1448	5384
212	1455	5376
213	1461	5367
214	1467	5359
215	1474	5353
216	1481	5344
217	1487	5337
218	1495	5331
219	1501	5324
220	1508	5318
221	1515	5311
222	1522	5303
223	1528	5295
224	1534	5287
225	1541	5278
226	1547	5271
227	1554	5263
228	1561	5256
229	1567	5248
230	1574	5241
231	1581	5233
232	1587	5227
233	1595	5223
234	1602	5217
235	1610	5213
236	1616	5205
237	1624	5201
238	1631	5193
239	1637	5185
240	1644	5178
241	1650	5170
242	1657	5162
243	1663	5154
244	1669	5145
245	1676	5137
246	1682	5128
247	1688	5119
248	1695	5114
249	1701	5105
250	1708	5099
251	1715	5091
252	1722	5085
253	1728	5076
254	1734	5068
255	1741	5061
256	1748	5055
257	1755	5047
258	1763	5044
259	1770	5037
260	1776	5030
261	1783	5024
262	1790	5017
263	1798	5013
264	1807	5012
265	1815	5008
266	1824	5008
267	1831	5002
268	1838	4996
269	1846	4992
270	1854	4987
271	1861	4982
272	1869	4978
273	1876	4972
274	1886	4974
275	1896	4975
276	1905	4972
277	1912	4965
278	1919	4960
279	1929	4961
280	1937	4957
281	1945	4953
282	1952	4948
283	1960	4943
284	1969	4940
285	1976	4934
286	1984	4930
287	1992	4927
288	1999	4920
289	2007	4915
290	2016	4912
291	2024	4908
292	2032	4905
293	2040	4899
294	2047	4894
295	2056	4890
296	2063	4885
297	2073	4883
298	2081	4880
299	2089	4874
300	2096	4867
301	2103	4860
302	2110	4854
303	2117	4848
304	2124	4841
305	2131	4833
306	2138	4826
307	2145	4819
308	2152	4812
309	2158	4804
310	2165	4797
311	2171	4789
312	2178	4782
313	2185	4775
314	2192	4767
315	2200	4762
316	2207	4755
317	2213	4747
318	2221	4741
319	2228	4736
320	2237	4732
321	2244	4725
322	2251	4718
323	2257	4710
324	2264	4703
325	2271	4696
326	2278	4689
327	2285	4682
328	2290	4671
329	2297	4663
330	2303	4656
331	2310	4649
332	2316	4640
333	2323	4632
334	2328	4622
335	2335	4615
336	2342	4608
337	2348	4600
338	2355	4593
339	2361	4584
340	2368	4576
341	2374	4568
342	2381	4561
343	2388	4554
344	2394	4546
345	2403	4542
346	2410	4535
347	2418	4531
348	2426	4525
349	2433	4519
350	2440	4513
351	2448	4506
352	2455	4499
353	2461	4492
354	2468	4485
355	2475	4478
356	2482	4471
357	2490	4465
358	2497	4459
359	2505	4454
360	2512	4448
361	2520	4441
362	2529	4438
363	2537	4432
364	2545	4427
365	2552	4421
366	2559	4414
367	2567	4409
368	2574	4402
369	2582	4397
370	2590	4391
371	2599	4387
372	2609	4386
373	2617	4381
374	2627	4378
375	2636	4375
376	2644	4370
377	2653	4366
378	2660	4359
379	2667	4352
380	2675	4346
381	2683	4340
382	2690	4334
383	2697	4327
384	2704	4320
385	2711	4313
386	2719	4306
387	2725	4299
388	2732	4292
389	2738	4283
390	2745	4275
391	2751	4268
392	2758	4260
393	2765	4253
394	2771	4245
395	2778	4237
396	2784	4229
397	2791	4221
398	2797	4213
399	2804	4206
400	2810	4198
401	2817	4190
402	2823	4182
403	2832	4178
404	2839	4171
405	2846	4164
406	2853	4157
407	2860	4150
408	2866	4142
409	2873	4134
410	2879	4126
411	2886	4119
412	2893	4112
413	2899	4104
414	2906	4097
415	2912	4088
416	2918	4080
417	2925	4072
418	2931	4064
419	2937	4056
420	2943	4048
421	2950	4041
422	2957	4034
423	2964	4026
424	2970	4019
425	2977	4011
426	2984	4004
427	2990	3997
428	2997	3989
429	3003	3980
430	3010	3973
431	3017	3967
432	3024	3960
433	3031	3953
434	3037	3945
435	3044	3938
436	3051	3931
